DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,daily_return,rsi,prev_close,tr,atr,support_1,support_2,resistance_1,resistance_2,forecast_bias,next_day_return,next_day_close,forecast_hit,resistance_breach,support_breach,level_breach
2024-01-02,4745.2,4754.33,4722.67,4742.83,3743050000.0,,,,,,,,,,Neutral,-0.8016310936719062,4704.81,False,False,False,False
2024-01-03,4725.07,4729.29,4699.71,4704.81,3950760000.0,-0.8016310936719062,,4742.83,43.11999999999989,,,,,,Neutral,-0.3428406248073834,4688.68,True,False,False,False
2024-01-04,4697.42,4726.78,4687.53,4688.68,3715480000.0,-0.3428406248073834,,4704.81,39.25,,,,,,Neutral,0.1825673750394552,4697.24,True,False,False,False
2024-01-05,4690.57,4721.49,4682.11,4697.24,3844370000.0,0.1825673750394552,,4688.68,39.38000000000011,,,,,,Neutral,1.4114671594383177,4763.54,False,False,False,False
2024-01-08,4703.7,4764.54,4699.82,4763.54,3742320000.0,1.4114671594383177,,4697.24,67.30000000000018,,,,,,Neutral,-0.1477892491718369,4756.5,True,False,False,False
2024-01-09,4741.93,4765.47,4730.35,4756.5,3529960000.0,-0.1477892491718369,,4763.54,35.11999999999989,,,,,,Neutral,0.5665930831493693,4783.45,False,False,False,False
2024-01-10,4759.94,4790.8,4756.2,4783.45,3498680000.0,0.5665930831493693,,4756.5,34.600000000000364,,,,,,Neutral,-0.0671063771963798,4780.24,True,False,False,False
2024-01-11,4792.13,4798.5,4739.58,4780.24,3759890000.0,-0.0671063771963798,,4783.45,58.92000000000007,,,,,,Neutral,0.07510083175741311,4783.83,True,False,False,False
2024-01-12,4791.18,4802.4,4768.98,4783.83,3486340000.0,0.07510083175741311,,4780.24,33.42000000000007,,,,,,Neutral,-0.37313198838587747,4765.98,True,False,False,False
2024-01-16,4772.35,4782.34,4747.12,4765.98,4260550000.0,-0.37313198838587747,,4783.83,36.710000000000036,,,,,,Neutral,-0.5616893062916684,4739.21,False,False,False,False
2024-01-17,4739.13,4744.23,4714.82,4739.21,3928600000.0,-0.5616893062916684,,4765.98,51.159999999999854,,,,,,Neutral,0.8805265012522989,4780.94,False,False,False,False
2024-01-18,4760.1,4785.79,4740.57,4780.94,4019000000.0,0.8805265012522989,,4739.21,46.57999999999993,,,,,,Neutral,1.2313478102632613,4839.81,False,False,False,False
2024-01-19,4796.28,4842.07,4785.87,4839.81,4287200000.0,1.2313478102632613,,4780.94,61.13000000000011,,,,,,Neutral,0.2194301015948863,4850.43,True,False,False,False
2024-01-22,4853.42,4868.41,4844.05,4850.43,4297610000.0,0.2194301015948863,66.52131187814774,4839.81,28.599999999999454,,,,,,Bearish,0.29213904746590025,4864.6,False,False,False,False
2024-01-23,4856.8,4866.48,4844.37,4864.6,3912800000.0,0.29213904746590025,67.91736558665144,4850.43,22.109999999999673,42.67142857142854,4800.592857142858,4757.921428571429,4928.607142857143,4971.278571428572,Bearish,0.08119886527155895,4868.55,False,False,False,False
2024-01-24,4888.56,4903.68,4865.94,4868.55,4330030000.0,0.08119886527155895,76.7776542160005,4864.6,39.07999999999993,42.38285714285712,4804.975714285714,4762.592857142858,4932.124285714286,4974.507142857143,Bearish,0.5260293105750158,4894.16,False,False,False,False
2024-01-25,4886.66,4898.15,4869.34,4894.16,4020430000.0,0.5260293105750158,82.59310957426558,4868.55,29.599999999999454,41.69357142857137,4831.619642857143,4789.926071428571,4956.700357142857,4998.393928571429,Bearish,-0.06517972440622799,4890.97,True,False,False,False
2024-01-26,4888.91,4906.69,4881.47,4890.97,3353400000.0,-0.06517972440622799,81.26190091980004,4894.16,25.219999999999345,40.68214285714274,4829.946785714286,4789.264642857143,4951.993214285714,4992.675357142857,Bearish,0.7556783214781593,4927.93,False,False,False,False
2024-01-29,4892.95,4929.31,4887.4,4927.93,3525160000.0,0.7556783214781593,79.30198566896024,4890.97,41.910000000000764,38.86857142857135,4869.627142857144,4830.7585714285715,4986.232857142857,5025.101428571429,Bearish,-0.060065788272156695,4924.97,True,False,False,False
2024-01-30,4925.89,4931.09,4916.27,4924.97,3836130000.0,-0.060065788272156695,80.47245233874771,4927.93,14.819999999999709,37.41857142857134,4868.842142857144,4831.423571428571,4981.097857142857,5018.516428571429,Bearish,-1.610568186202166,4845.65,True,False,True,True
2024-01-31,4899.19,4906.75,4845.15,4845.65,4696120000.0,-1.610568186202166,59.458637469586336,4924.97,79.82000000000062,40.64857142857136,4784.677142857143,4744.028571428571,4906.622857142856,4947.271428571428,Bullish,1.2493679898465615,4906.19,True,False,False,False
2024-02-01,4861.11,4906.97,4853.52,4906.19,4386090000.0,1.2493679898465615,66.30927407867813,4845.65,61.32000000000062,40.81999999999997,4844.96,4804.139999999999,4967.419999999999,5008.24,Bearish,1.068446187367389,4958.61,False,False,False,False
2024-02-02,4916.06,4975.29,4907.99,4958.61,3974350000.0,1.068446187367389,70.09150266691186,4906.19,69.10000000000036,43.36857142857142,4893.557142857143,4850.188571428571,5023.662857142856,5067.0314285714285,Bearish,-0.318637682737688,4942.81,True,False,False,False
2024-02-05,4957.19,4957.19,4918.09,4942.81,4023640000.0,-0.318637682737688,70.42341364255864,4958.61,40.51999999999953,43.64071428571424,4877.3489285714295,4833.708214285714,5008.271071428571,5051.911785714286,Bearish,0.2310426660138587,4954.23,False,False,False,False
2024-02-06,4950.16,4957.77,4934.88,4954.23,4440880000.0,0.2310426660138587,75.74719800747201,4942.81,22.890000000000327,41.62142857142856,4891.797857142857,4850.176428571428,5016.6621428571425,5058.283571428571,Bearish,0.8241442161546875,4995.06,False,False,False,False
2024-02-07,4973.05,4999.89,4969.05,4995.06,4895590000.0,0.8241442161546875,75.69481111697797,4954.23,45.660000000000764,41.55571428571433,4932.726428571429,4891.170714285715,5057.393571428572,5098.949285714286,Bearish,0.05705637169521882,4997.91,False,False,False,False
2024-02-08,4995.16,5000.4,4987.09,4997.91,4341860000.0,0.05705637169521882,71.9193655723159,4995.06,13.30999999999949,38.14,4940.7,4902.5599999999995,5055.12,5093.26,Bearish,0.5742400323335062,5026.61,False,False,False,False
