date,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_close,daily_return,prev_close,rsi,tr,atr,support_level,resistance_level,volume_20ma,volume_ratio,vix_change,vix_5ma,vix_returns,spx_vix_correlation,vix_regime,regime_breakdown,rsi_momentum,vix_percentile,forecast_bias,bull_signals,bear_signals,chop_signals,signal_details,next_day_return,next_day_close,forecast_hit
2024-01-02,4745.2,4754.33,4722.67,4742.83,3743050000.0,13.2,,,,,,,,,,,,,,LOW_VOL,False,,,Chop,0,0,0,,-0.8016310936719062,4704.81,False
2024-01-03,4725.07,4729.29,4699.71,4704.81,3950760000.0,14.04,-0.8016310936719062,4742.83,,43.11999999999989,,,,,,0.8399999999999999,,6.363636363636371,,LOW_VOL,False,,,Chop,0,0,0,,-0.3428406248073834,4688.68,True
2024-01-04,4697.42,4726.78,4687.53,4688.68,3715480000.0,14.13,-0.3428406248073834,4704.81,,39.25,,,,,,0.09000000000000163,,0.641025641025661,,LOW_VOL,False,,,Chop,0,0,0,,0.1825673750394552,4697.24,True
2024-01-05,4690.57,4721.49,4682.11,4697.24,3844370000.0,13.35,0.1825673750394552,4688.68,,39.38000000000011,,,,,,-0.7800000000000011,,-5.520169851380052,,LOW_VOL,False,,,Chop,0,0,0,,1.4114671594383177,4763.54,False
2024-01-08,4703.7,4764.54,4699.82,4763.54,3742320000.0,13.08,1.4114671594383177,4697.24,,67.30000000000018,,,,,,-0.2699999999999996,13.559999999999999,-2.0224719101123556,,LOW_VOL,False,,,Chop,0,0,0,,-0.1477892491718369,4756.5,True
2024-01-09,4741.93,4765.47,4730.35,4756.5,3529960000.0,12.76,-0.1477892491718369,4763.54,,35.11999999999989,,,,,,-0.3200000000000003,13.472,-2.4464831804281384,-0.579692082744981,LOW_VOL,False,,,Chop,0,0,0,,0.5665930831493693,4783.45,True
2024-01-10,4759.94,4790.8,4756.2,4783.45,3498680000.0,12.69,0.5665930831493693,4756.5,,34.600000000000364,,,,,,-0.07000000000000028,13.202000000000002,-0.5485893416927956,-0.11231066443600682,LOW_VOL,True,,,Chop,0,0,0,,-0.0671063771963798,4780.24,True
2024-01-11,4792.13,4798.5,4739.58,4780.24,3759890000.0,12.44,-0.0671063771963798,4783.45,,58.92000000000007,,,,,,-0.25,12.863999999999999,-1.970055161544526,0.2548879888892901,LOW_VOL,True,,,Chop,0,0,0,,0.07510083175741311,4783.83,True
2024-01-12,4791.18,4802.4,4768.98,4783.83,3486340000.0,12.7,0.07510083175741311,4780.24,,33.42000000000007,,,,,,0.2599999999999998,12.734,2.0900321543408262,-0.14863218343047738,LOW_VOL,True,,,Chop,0,0,0,,-0.37313198838587747,4765.98,True
2024-01-16,4772.35,4782.34,4747.12,4765.98,4260550000.0,13.84,-0.37313198838587747,4783.83,,36.710000000000036,,,,,,1.1400000000000006,12.886000000000001,8.976377952755922,-0.4683705685726537,LOW_VOL,False,,,Chop,0,0,0,,-0.5616893062916684,4739.21,True
2024-01-17,4739.13,4744.23,4714.82,4739.21,3928600000.0,14.79,-0.5616893062916684,4765.98,,51.159999999999854,,,,,,0.9499999999999993,13.291999999999998,6.86416184971097,-0.7447982960833087,LOW_VOL,False,,,Chop,0,0,0,,0.8805265012522989,4780.94,False
2024-01-18,4760.1,4785.79,4740.57,4780.94,4019000000.0,14.13,0.8805265012522989,4739.21,,46.57999999999993,,,,,,-0.6599999999999984,13.579999999999998,-4.462474645030412,-0.847787216153467,LOW_VOL,False,,,Chop,0,0,0,,1.2313478102632613,4839.81,False
2024-01-19,4796.28,4842.07,4785.87,4839.81,4287200000.0,13.3,1.2313478102632613,4780.94,,61.13000000000011,,,,,,-0.8300000000000001,13.752,-5.874026893135175,-0.9737777106427051,LOW_VOL,False,,,Chop,0,0,0,,0.2194301015948863,4850.43,True
