v,vw,o,c,h,l,t,n
33112917.0,574.2886,574.69,572.85,576.8,571.57,1754884800000,418937
42271441.0,577.4151,575.16,580.05,580.35,572.485,1754971200000,508797
41209294.0,580.5518,582.76,580.34,583.3199,578.94,1755057600000,491303
45425043.0,579.8734,578.28,579.89,581.88,577.91,1755144000000,552325
49480161.0,577.8239,579.8,577.34,579.84,575.5743,1755230400000,514316
