v,vw,o,c,h,l,t,n
58742300.0,636.8003,637.46,635.92,638.95,634.66,1754884800000,669920
64821798.0,640.6188,638.29,642.69,642.85,636.79,1754971200000,761232
60092790.0,644.218,644.91,644.89,646.19,642.68,1755057600000,672682
59327466.0,644.2844,642.79,644.95,645.62,642.34,1755144000000,682668
68592507.0,644.1732,645.99,643.44,646.09,642.5153,1755230400000,637298
